Recency,Frequency,Monetary,Cluster,ClusterName
208,4,87.82,4,Potential Customers
106,4,74.9,5,Regular Customers
276,6,141.8,4,Potential Customers
229,4,98.56,4,Potential Customers
123,2,108.3,5,Regular Customers
213,3,68.15,4,Potential Customers
288,1,4.4,4,Potential Customers
215,2,55.1,4,Potential Customers
76,2,73.4,0,Loyal Customers
190,5,205.0,2,Diamond Customers
83,6,131.17,2,Diamond Customers
162,3,34.3,5,Regular Customers
340,5,135.7,1,New Customers
12,5,105.85,0,Loyal Customers
131,4,85.35,5,Regular Customers
229,4,64.9,4,Potential Customers
437,3,33.3,1,New Customers
562,3,26.15,3,Lost Customers
61,3,62.75,0,Loyal Customers
184,6,65.5,5,Regular Customers
56,4,108.95,0,Loyal Customers
181,1,39.9,5,Regular Customers
352,3,59.2,1,New Customers
96,3,93.85,5,Regular Customers
91,2,86.3,0,Loyal Customers
49,6,151.6,2,Diamond Customers
101,3,81.9,5,Regular Customers
91,6,222.4,2,Diamond Customers
40,11,240.2,2,Diamond Customers
116,6,142.0,2,Diamond Customers
33,7,89.0,0,Loyal Customers
359,5,79.34,1,New Customers
150,2,33.32,5,Regular Customers
353,3,58.7,1,New Customers
346,3,89.46,1,New Customers
142,3,42.84,5,Regular Customers
400,3,90.6,1,New Customers
353,2,35.5,1,New Customers
64,1,53.7,0,Loyal Customers
233,1,57.6,4,Potential Customers
346,2,38.42,1,New Customers
287,4,131.4,4,Potential Customers
14,2,26.2,0,Loyal Customers
26,3,99.9,0,Loyal Customers
14,4,84.2,0,Loyal Customers
213,4,83.12,4,Potential Customers
56,7,137.84,2,Diamond Customers
111,4,94.2,5,Regular Customers
101,5,97.85,5,Regular Customers
280,1,12.4,4,Potential Customers
11,8,140.56,2,Diamond Customers
98,9,202.0,2,Diamond Customers
2,4,47.9,0,Loyal Customers
566,1,5.35,3,Lost Customers
304,1,5.92,4,Potential Customers
85,8,166.8,2,Diamond Customers
50,3,69.07,0,Loyal Customers
102,4,107.3,5,Regular Customers
6,4,39.35,0,Loyal Customers
700,1,6.0,3,Lost Customers
518,3,122.6,3,Lost Customers
182,1,6.4,5,Regular Customers
93,3,102.34,5,Regular Customers
82,5,93.54,0,Loyal Customers
184,4,121.62,5,Regular Customers
476,2,28.6,1,New Customers
1,4,64.07,0,Loyal Customers
281,4,137.68,4,Potential Customers
59,6,117.2,0,Loyal Customers
229,4,74.5,4,Potential Customers
315,2,38.54,1,New Customers
35,5,67.3,0,Loyal Customers
10,7,128.42,0,Loyal Customers
205,3,83.16,4,Potential Customers
348,2,33.7,1,New Customers
234,2,82.3,4,Potential Customers
387,5,110.9,1,New Customers
197,4,121.2,4,Potential Customers
683,2,24.8,3,Lost Customers
368,2,52.3,1,New Customers
134,3,41.6,5,Regular Customers
258,6,110.58,4,Potential Customers
31,3,57.3,0,Loyal Customers
22,4,78.0,0,Loyal Customers
311,2,69.7,4,Potential Customers
168,2,30.3,5,Regular Customers
420,2,17.4,1,New Customers
32,6,82.22,0,Loyal Customers
15,6,97.8,0,Loyal Customers
668,2,27.0,3,Lost Customers
160,2,30.2,5,Regular Customers
84,4,120.84,2,Diamond Customers
137,6,105.8,5,Regular Customers
22,3,121.2,0,Loyal Customers
589,4,110.0,3,Lost Customers
32,7,134.4,2,Diamond Customers
373,5,115.02,1,New Customers
376,2,26.3,1,New Customers
214,4,37.1,4,Potential Customers
13,6,230.0,2,Diamond Customers
13,4,51.5,0,Loyal Customers
104,5,191.9,2,Diamond Customers
337,2,33.3,1,New Customers
19,6,158.91,2,Diamond Customers
166,7,116.32,5,Regular Customers
579,2,10.5,3,Lost Customers
358,3,62.64,1,New Customers
239,3,53.09,4,Potential Customers
242,4,50.7,4,Potential Customers
497,2,15.3,3,Lost Customers
159,5,89.7,5,Regular Customers
121,5,129.0,5,Regular Customers
98,7,149.35,2,Diamond Customers
15,3,111.16,0,Loyal Customers
124,5,101.62,5,Regular Customers
315,3,73.3,4,Potential Customers
88,4,57.5,0,Loyal Customers
37,5,105.75,0,Loyal Customers
66,4,156.6,2,Diamond Customers
113,4,106.3,5,Regular Customers
192,5,158.6,4,Potential Customers
134,4,71.5,5,Regular Customers
49,1,53.8,0,Loyal Customers
74,4,143.5,2,Diamond Customers
109,7,178.26,2,Diamond Customers
122,3,56.6,5,Regular Customers
118,2,19.6,5,Regular Customers
495,1,10.1,3,Lost Customers
190,5,154.3,4,Potential Customers
21,5,138.6,2,Diamond Customers
216,3,93.0,4,Potential Customers
258,2,35.0,4,Potential Customers
259,1,49.0,4,Potential Customers
102,3,78.5,5,Regular Customers
82,6,177.75,2,Diamond Customers
227,7,165.02,4,Potential Customers
86,5,147.29,2,Diamond Customers
362,2,32.6,1,New Customers
25,4,83.0,0,Loyal Customers
659,1,8.1,3,Lost Customers
406,4,60.62,1,New Customers
47,6,166.19,2,Diamond Customers
131,5,51.56,5,Regular Customers
25,6,100.4,0,Loyal Customers
15,2,50.8,0,Loyal Customers
257,3,98.1,4,Potential Customers
38,10,221.0,2,Diamond Customers
408,2,107.6,1,New Customers
496,5,79.85,3,Lost Customers
87,2,51.94,0,Loyal Customers
356,3,26.2,1,New Customers
321,5,139.3,4,Potential Customers
283,4,154.15,4,Potential Customers
11,5,111.3,0,Loyal Customers
115,3,66.83,5,Regular Customers
29,4,142.1,2,Diamond Customers
76,5,81.3,0,Loyal Customers
23,7,110.96,0,Loyal Customers
295,3,76.3,4,Potential Customers
112,7,189.93,2,Diamond Customers
39,3,78.0,0,Loyal Customers
618,3,48.4,3,Lost Customers
292,2,69.7,4,Potential Customers
17,6,86.65,0,Loyal Customers
574,1,21.0,3,Lost Customers
144,4,133.9,5,Regular Customers
55,3,81.6,0,Loyal Customers
422,1,11.4,1,New Customers
130,3,93.8,5,Regular Customers
94,3,64.5,5,Regular Customers
38,7,150.3,2,Diamond Customers
49,2,60.0,0,Loyal Customers
517,2,34.8,3,Lost Customers
458,3,68.1,1,New Customers
313,2,7.5,1,New Customers
113,7,203.5,2,Diamond Customers
187,3,46.15,5,Regular Customers
131,6,85.45,5,Regular Customers
184,1,33.96,5,Regular Customers
344,3,98.4,1,New Customers
64,5,77.57,0,Loyal Customers
18,7,137.0,2,Diamond Customers
3,7,316.81,2,Diamond Customers
103,3,86.5,5,Regular Customers
92,5,157.05,2,Diamond Customers
36,4,86.6,0,Loyal Customers
45,5,134.7,2,Diamond Customers
313,2,51.6,4,Potential Customers
60,4,92.34,0,Loyal Customers
194,9,223.29,2,Diamond Customers
180,6,73.92,5,Regular Customers
674,1,13.4,3,Lost Customers
45,7,241.7,2,Diamond Customers
196,3,56.43,5,Regular Customers
427,4,87.6,1,New Customers
113,4,79.8,5,Regular Customers
2,7,204.0,2,Diamond Customers
1,6,74.9,0,Loyal Customers
175,4,85.6,5,Regular Customers
152,3,49.7,5,Regular Customers
458,3,30.65,1,New Customers
141,3,129.16,5,Regular Customers
9,6,114.69,0,Loyal Customers
50,7,140.7,2,Diamond Customers
360,2,45.7,1,New Customers
655,1,12.5,3,Lost Customers
382,3,23.0,1,New Customers
129,2,55.7,5,Regular Customers
99,3,100.7,5,Regular Customers
12,4,70.7,0,Loyal Customers
87,2,38.3,0,Loyal Customers
280,2,67.78,4,Potential Customers
4,3,19.2,0,Loyal Customers
164,4,76.7,5,Regular Customers
3,2,124.3,0,Loyal Customers
81,4,150.2,2,Diamond Customers
84,6,86.8,0,Loyal Customers
292,2,29.8,4,Potential Customers
98,4,104.8,5,Regular Customers
230,4,64.3,4,Potential Customers
139,3,57.3,5,Regular Customers
347,4,57.1,1,New Customers
182,2,26.4,5,Regular Customers
324,1,11.0,1,New Customers
50,6,126.8,0,Loyal Customers
26,5,37.85,0,Loyal Customers
209,3,26.9,4,Potential Customers
484,2,111.45,1,New Customers
351,5,40.05,1,New Customers
101,5,46.7,5,Regular Customers
36,2,74.76,0,Loyal Customers
708,1,6.9,3,Lost Customers
63,4,75.5,0,Loyal Customers
140,5,136.75,5,Regular Customers
226,3,46.45,4,Potential Customers
35,2,41.15,0,Loyal Customers
174,2,18.1,5,Regular Customers
133,2,69.5,5,Regular Customers
8,4,62.42,0,Loyal Customers
12,3,19.92,0,Loyal Customers
50,7,209.84,2,Diamond Customers
145,2,20.7,5,Regular Customers
118,4,121.4,5,Regular Customers
155,4,83.7,5,Regular Customers
28,4,99.36,0,Loyal Customers
511,1,4.9,3,Lost Customers
38,5,159.22,2,Diamond Customers
24,3,85.55,0,Loyal Customers
112,2,23.0,5,Regular Customers
259,3,97.62,4,Potential Customers
325,1,63.9,1,New Customers
138,5,127.7,5,Regular Customers
30,4,76.9,0,Loyal Customers
3,4,56.9,0,Loyal Customers
0,4,125.6,0,Loyal Customers
3,4,61.25,0,Loyal Customers
168,4,105.1,5,Regular Customers
92,4,121.8,2,Diamond Customers
169,8,202.74,2,Diamond Customers
119,6,208.22,2,Diamond Customers
15,4,80.3,0,Loyal Customers
58,3,79.9,0,Loyal Customers
161,5,96.28,5,Regular Customers
152,2,48.3,5,Regular Customers
18,9,256.25,2,Diamond Customers
180,4,100.5,5,Regular Customers
210,6,99.7,4,Potential Customers
24,3,34.77,0,Loyal Customers
16,3,70.2,0,Loyal Customers
509,3,49.3,3,Lost Customers
179,5,130.06,5,Regular Customers
25,10,223.95,2,Diamond Customers
44,5,97.54,0,Loyal Customers
75,2,21.1,0,Loyal Customers
141,2,53.1,5,Regular Customers
72,3,65.3,0,Loyal Customers
122,4,77.54,5,Regular Customers
493,2,57.5,3,Lost Customers
177,3,90.75,5,Regular Customers
372,3,70.4,1,New Customers
52,6,123.52,0,Loyal Customers
50,5,95.5,0,Loyal Customers
53,3,59.3,0,Loyal Customers
77,3,35.6,0,Loyal Customers
156,3,43.2,5,Regular Customers
45,2,20.6,0,Loyal Customers
300,6,132.7,4,Potential Customers
474,3,28.2,1,New Customers
36,3,71.0,0,Loyal Customers
139,4,85.85,5,Regular Customers
335,4,74.6,1,New Customers
42,6,43.35,0,Loyal Customers
237,2,37.8,4,Potential Customers
36,5,148.6,2,Diamond Customers
5,4,63.45,0,Loyal Customers
128,7,201.92,2,Diamond Customers
7,7,163.14,2,Diamond Customers
70,3,83.6,0,Loyal Customers
359,5,119.52,1,New Customers
163,6,73.23,5,Regular Customers
7,7,194.4,2,Diamond Customers
124,4,95.8,5,Regular Customers
68,3,58.4,0,Loyal Customers
140,1,10.6,5,Regular Customers
429,3,72.7,1,New Customers
34,6,165.52,2,Diamond Customers
133,4,74.85,5,Regular Customers
411,4,111.2,1,New Customers
1,4,98.55,0,Loyal Customers
169,4,87.8,5,Regular Customers
93,4,75.74,5,Regular Customers
333,1,44.92,1,New Customers
526,1,22.4,3,Lost Customers
82,7,167.3,2,Diamond Customers
167,3,91.1,5,Regular Customers
128,5,86.4,5,Regular Customers
166,3,76.1,5,Regular Customers
217,1,39.4,4,Potential Customers
361,5,157.4,1,New Customers
19,4,98.44,0,Loyal Customers
292,2,74.2,4,Potential Customers
370,2,52.3,1,New Customers
66,4,29.45,0,Loyal Customers
29,7,155.76,2,Diamond Customers
266,3,92.3,4,Potential Customers
43,5,124.0,0,Loyal Customers
16,5,99.85,0,Loyal Customers
46,2,143.8,2,Diamond Customers
279,2,67.5,4,Potential Customers
249,8,153.97,4,Potential Customers
291,4,35.4,4,Potential Customers
65,2,53.1,0,Loyal Customers
211,5,84.25,4,Potential Customers
2,2,42.8,0,Loyal Customers
245,7,97.64,4,Potential Customers
14,5,104.5,0,Loyal Customers
385,2,4.8,1,New Customers
90,6,112.54,0,Loyal Customers
443,3,41.32,1,New Customers
223,4,49.3,4,Potential Customers
341,5,134.45,1,New Customers
137,7,125.25,5,Regular Customers
49,1,59.1,0,Loyal Customers
38,4,160.1,2,Diamond Customers
14,7,158.9,2,Diamond Customers
69,6,197.0,2,Diamond Customers
19,6,145.44,2,Diamond Customers
550,1,31.86,3,Lost Customers
101,5,103.1,5,Regular Customers
487,2,33.35,3,Lost Customers
338,3,60.7,1,New Customers
405,2,19.3,1,New Customers
102,4,43.4,5,Regular Customers
126,2,22.6,5,Regular Customers
70,3,75.04,0,Loyal Customers
366,3,38.35,1,New Customers
213,7,149.25,4,Potential Customers
129,6,75.45,5,Regular Customers
188,1,9.0,5,Regular Customers
580,2,27.2,3,Lost Customers
228,4,72.0,4,Potential Customers
222,7,126.85,4,Potential Customers
27,5,163.9,2,Diamond Customers
371,3,43.56,1,New Customers
16,4,53.55,0,Loyal Customers
459,2,25.2,1,New Customers
90,3,65.7,0,Loyal Customers
81,3,65.5,0,Loyal Customers
134,2,61.8,5,Regular Customers
42,10,239.96,2,Diamond Customers
508,2,39.0,3,Lost Customers
60,3,42.2,0,Loyal Customers
393,1,18.0,1,New Customers
24,5,178.54,2,Diamond Customers
318,3,77.24,4,Potential Customers
94,3,30.5,5,Regular Customers
98,9,254.8,2,Diamond Customers
